Date : 2020-02-02 09:38:42
Directory : c:\GOVMEETING\_SOURCECODE\BackEnd
Total : 186 files,  7718 codes, 2120 comments, 1707 blanks, all 11545 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| C#              |        125 |      6,257 |      2,011 |      1,389 |      9,657 |
| aspnetcorerazor |         33 |        868 |         50 |        155 |      1,073 |
| XML             |         17 |        286 |          7 |         90 |        383 |
| JSON            |          6 |        161 |          0 |          4 |        165 |
| PowerShell      |          5 |        146 |         52 |         69 |        267 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ConvertToJson.cs                          | C#              |         73 |          5 |         14 |         92 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ProcessTranscript_Lib.csproj              | XML             |         15 |          1 |          5 |         21 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ProcessTranscripts.cs                     | C#              |         47 |         22 |         18 |         87 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\SpecificFixesBase.cs                      | C#              |         31 |          4 |          8 |         43 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Specific_Austin_TX_USA.cs                 | C#              |         28 |          0 |          9 |         37 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Specific_Philadelphia_PA_USA.cs           | C#              |         78 |         26 |         40 |        144 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\Talk.cs                                   | C#              |         16 |          0 |          2 |         18 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\TranscriptFixes.cs                        | C#              |         21 |          6 |          5 |         32 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\AddtagsView.cs                                   | C#              |         21 |          5 |          5 |         31 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\FixasrView.cs                                    | C#              |         25 |          3 |          9 |         37 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\MeetingView.cs                                   | C#              |         33 |          5 |          8 |         46 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ViewModels_Lib\ViewModels_Lib.csproj                            | XML             |          5 |          0 |          3 |          8 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\ConfigureAuthentication.cs                                               | C#              |         54 |         15 |         16 |         85 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\CurrentDirectoryHelpers.cs                                               | C#              |         56 |          4 |          9 |         69 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\00000000000000_CreateIdentitySchema.Designer.cs          | C#              |        152 |          0 |         67 |        219 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\00000000000000_CreateIdentitySchema.cs                   | C#              |        197 |          0 |         23 |        220 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Data\Migrations\ApplicationDbContextModelSnapshot.cs                     | C#              |        151 |          0 |         67 |        218 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\AccountController.cs                                    | C#              |        438 |         76 |         52 |        566 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ClaimInfo.cs                                            | C#              |         12 |          0 |          2 |         14 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmail.cshtml                                     | aspnetcorerazor |          9 |          0 |          2 |         11 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailError.cshtml                                | aspnetcorerazor |         13 |          0 |          2 |         15 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailPrompt.cshtml                               | aspnetcorerazor |         25 |          0 |          5 |         30 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ConfirmEmailPromptViewModel.cs                          | C#              |         16 |          1 |          3 |         20 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginConfirmation.cshtml                        | aspnetcorerazor |         31 |          0 |          5 |         36 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginConfirmationViewModel.cs                   | C#              |         14 |          0 |          2 |         16 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginFailure.cshtml                             | aspnetcorerazor |          7 |          0 |          2 |          9 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPassword.cshtml                                   | aspnetcorerazor |         25 |          3 |          4 |         32 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPasswordConfirmation.cshtml                       | aspnetcorerazor |          7 |          0 |          2 |          9 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPasswordViewModel.cs                              | C#              |         14 |          0 |          2 |         16 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Lockout.cshtml                                          | aspnetcorerazor |          7 |          0 |          2 |          9 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Login.cshtml                                            | aspnetcorerazor |        108 |          0 |         10 |        118 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\LoginViewModel.cs                                       | C#              |         19 |          0 |          4 |         23 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Over18Requirement.cs                                    | C#              |          8 |         45 |          3 |         56 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Register.cshtml                                         | aspnetcorerazor |         58 |          0 |         10 |         68 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\RegisterEmail.cshtml                                    | aspnetcorerazor |         16 |          0 |          2 |         18 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\RegisterViewModel.cs                                    | C#              |         24 |          0 |          4 |         28 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPassword.cshtml                                    | aspnetcorerazor |         40 |          0 |          4 |         44 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPasswordConfirmation.cshtml                        | aspnetcorerazor |          7 |          0 |          2 |          9 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPasswordViewModel.cs                               | C#              |         23 |          0 |          5 |         28 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\SendCode.cshtml                                         | aspnetcorerazor |         18 |          0 |          4 |         22 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\SendCodeViewModel.cs                                    | C#              |         15 |          0 |          5 |         20 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\UserInfo.cs                                             | C#              |         15 |          0 |          2 |         17 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\VerifyCode.cshtml                                       | aspnetcorerazor |         35 |          0 |          4 |         39 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\VerifyCodeViewModel.cs                                  | C#              |         20 |          0 |          6 |         26 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\govmeetingClaim.cs                                      | C#              |         15 |          0 |          2 |         17 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Addtags\AddtagsController.cs                                    | C#              |         36 |          3 |          5 |         44 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\AdminController.cs                                        | C#              |        162 |         29 |         31 |        222 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\EditClaims.cshtml                                         | aspnetcorerazor |          4 |          0 |          4 |          8 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\EditUsers.cshtml                                          | aspnetcorerazor |         60 |          0 |         17 |         77 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Admin\Index.cshtml                                              | aspnetcorerazor |         13 |          0 |          5 |         18 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\AspAuthController.cs                                    | C#              |         36 |          0 |          9 |         45 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\Index.cshtml                                            | aspnetcorerazor |          7 |          0 |          6 |         13 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\AspAuth\Privacy.cshtml                                          | aspnetcorerazor |          5 |          0 |          2 |          7 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Fixasr\FixasrController.cs                                      | C#              |         40 |          3 |          6 |         49 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\GovBodies\GovBodyController.cs                                  | C#              |         27 |         24 |         10 |         61 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Home\HomeController.cs                                          | C#              |         33 |          3 |          8 |         44 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\AddPhoneNumber.cshtml                                    | aspnetcorerazor |         27 |          0 |          4 |         31 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\AddPhoneNumberViewModel.cs                               | C#              |         15 |          0 |          2 |         17 |
| c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Manage\ChangePassword.cshtml                                    | aspnetcorerazor |         40 |          0 |          5 |         45 |
