filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\OnlineAccess_Lib\FTPOperations.cs, C#, 108, 0, 0, 0, 0, 25, 22, 155
c:\GOVMEETING\_SOURCECODE\BackEnd\Online\OnlineAccess_Lib\OnlineAccess_Lib.csproj, XML, 0, 5, 0, 0, 0, 0, 3, 8
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\Addtags\AddtagsRepository.cs, C#, 47, 0, 0, 0, 0, 6, 14, 67
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\Addtags\IAddtagsRepository.cs, C#, 13, 0, 0, 0, 0, 7, 3, 23
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\CircularBuffer.cs, C#, 107, 0, 0, 0, 0, 30, 22, 159
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\FileDataRepositories_Lib.csproj, XML, 0, 24, 0, 0, 0, 0, 7, 31
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\Fixasr\FixasrRepository.cs, C#, 50, 0, 0, 0, 0, 6, 17, 73
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\Fixasr\IFixasrRepository.cs, C#, 13, 0, 0, 0, 0, 3, 4, 20
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\FormatConversions.cs, C#, 73, 0, 0, 0, 0, 38, 7, 118
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\GMFileAccess.cs, C#, 111, 0, 0, 0, 0, 18, 19, 148
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\MeetingFolder.cs, C#, 85, 0, 0, 0, 0, 26, 20, 131
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\UseTestData.cs, C#, 21, 0, 0, 0, 0, 4, 5, 30
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\ViewMeetings\IViewMeetingRepository.cs, C#, 12, 0, 0, 0, 0, 0, 3, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\FileDataRepositories_Lib\ViewMeetings\ViewMeetingRepository.cs, C#, 59, 0, 0, 0, 0, 8, 15, 82
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\CreateJsonFiles.cs, C#, 94, 0, 0, 0, 0, 42, 21, 157
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\ExtractAudio.cs, C#, 27, 0, 0, 0, 0, 14, 10, 51
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\ModifyTranscriptJson.cs, C#, 47, 0, 0, 0, 0, 40, 8, 95
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\Phrase.cs, C#, 12, 0, 0, 0, 0, 0, 1, 13
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\ProcessRecording.cs, C#, 53, 0, 0, 0, 0, 18, 19, 90
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\ProcessRecording_Lib.csproj, XML, 0, 14, 0, 0, 0, 0, 5, 19
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\RunCommand.cs, C#, 25, 0, 0, 0, 0, 3, 8, 36
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\SplitIntoWorkSegments.cs, C#, 25, 0, 0, 0, 0, 16, 8, 49
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\SplitRecording.cs, C#, 72, 0, 0, 0, 0, 59, 20, 151
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Lib\SplitTranscript.cs, C#, 60, 0, 0, 0, 0, 21, 13, 94
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Tests\ProcessRecording_Tests.csproj, XML, 0, 11, 0, 0, 0, 0, 4, 15
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Tests\TestCloud.cs, C#, 67, 0, 0, 0, 0, 13, 24, 104
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessRecording_Tests\TestProcessing.cs, C#, 62, 0, 0, 0, 0, 6, 19, 87
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\CommonFixes.cs, C#, 166, 0, 0, 0, 0, 23, 22, 211
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ConvertPdfToText.cs, C#, 27, 0, 0, 0, 0, 11, 5, 43
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ConvertToJson.cs, C#, 73, 0, 0, 0, 0, 5, 14, 92
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ProcessTranscript_Lib.csproj, XML, 0, 15, 0, 0, 0, 1, 5, 21
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\ProcessTranscripts.cs, C#, 47, 0, 0, 0, 0, 22, 18, 87
c:\GOVMEETING\_SOURCECODE\BackEnd\ProcessMeetings\ProcessTranscript_Lib\SpecificFixesBase.cs, C#, 31, 0, 0, 0, 0, 4, 8, 43
